AppID,Genres,total_review_num,total_pos_num,total_neg_num
925360,"Casual,Indie,Simulation",4,3,1
482300,"Adventure,Indie,Simulation",251,169,82
964910,"Casual,Free to Play,Indie,RPG",0,0,0
16130,"Casual,Simulation",58,51,7
1716950,"Casual,Indie,Strategy",8,8,0
411530,"Adventure,Casual,Simulation,Strategy",9,8,1
237430,"Indie,RPG,Strategy",637,501,136
485120,Indie,37,35,2
1907570,"Casual,Indie",4,3,1
528670,"Casual,Indie",4,4,0
417540,Utilities,7,6,1
1496530,"Action,Casual",1,1,0
465070,Action,11,11,0
448010,"Casual,Indie",13,11,2
782630,"Action,Casual,Free to Play,Indie",0,0,0
1162170,"Indie,RPG",40,27,13
1941850,"Adventure,Casual,Indie",1,1,0
1467740,"Casual,Free to Play,Indie",0,0,0
1212930,"Action,Adventure,Indie",5,4,1
1580990,Adventure,0,0,0
1975670,"Adventure,Indie,RPG",30,27,3
1808480,"Casual,Indie",1,1,0
818070,"RPG,Early Access",0,0,0
1271190,"Casual,RPG,Simulation",88,50,38
944590,Action,23,22,1
1299400,"Casual,Indie",215,199,16
958090,"Action,Indie",2,2,0
607040,"Adventure,Casual,Indie,RPG,Strategy",16,10,6
1301850,"Casual,Free to Play,Indie,Early Access",0,0,0
299380,"Action,Adventure,Casual,Indie",7,5,2
1626950,"Action,Adventure,Indie",0,0,0
342260,"Adventure,Indie",133,95,38
1684920,"Action,Indie",4,4,0
888010,"Adventure,Indie",28,22,6
538950,"Action,Casual,Free to Play,Indie,RPG",0,0,0
293520,"Indie,Simulation",475,344,131
502940,"Casual,Indie",390,347,43
1395560,"Action,Indie",96,89,7
1038680,"Action,Adventure,Free to Play,Massively Multiplayer",0,0,0
291690,"Adventure,Indie",82,49,33
1246200,"Action,Adventure,Indie",0,0,0
1581010,"Action,Adventure",3,0,3
1690250,"Adventure,Casual,Indie,RPG,Simulation",5,2,3
653210,"Adventure,Indie",5,2,3
267360,Action,216,205,11
1694430,"RPG,Early Access",26,14,12
1886850,"Indie,Simulation",12,8,4
499910,"Adventure,Indie",98,90,8
1863170,"Indie,Simulation,Strategy",1,0,1
1644840,Casual,61,58,3
1422880,"Action,Adventure,Casual,Indie,Sports",10,8,2
12460,Strategy,76,44,32
410320,Action,4265,4105,160
1345440,"Action,Adventure,Indie",34,33,1
757600,Adventure,6,3,3
952000,"Action,Adventure,Indie,RPG,Early Access",0,0,0
1735930,"Action,Adventure,Indie",10,4,6
336670,Free to Play,2,1,1
1828410,"Action,Free to Play,RPG",0,0,0
733420,"Adventure,Indie",0,0,0
1528770,"Action,Adventure,Casual,Indie,Racing,Simulation,Sports",1,0,1
542260,"Casual,Indie",86,72,14
369560,"Action,Adventure,Casual,Indie",33,26,7
1494400,Casual,21,16,5
394850,"Action,Indie",100,81,19
953900,"Adventure,Casual,Indie",55,45,10
299480,"Action,Indie",137,84,53
1696230,"Action,Adventure,Free to Play,Indie",0,0,0
1530670,"Action,Adventure,Casual,Indie",1,0,1
1260220,"Casual,Indie,RPG,Simulation",15,10,5
1503530,"Action,Adventure,Casual,Indie,Racing",123,117,6
750960,"Action,Adventure,Indie",10,10,0
1898130,"Casual,Indie",1,0,1
523210,"Casual,Indie",1018,896,122
1278170,"Action,Sports",26,13,13
950400,"Action,Adventure,Casual,Indie,Simulation,Strategy",30,12,18
766570,"Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation,Sports",0,0,0
1694450,"Action,Casual,Indie,RPG,Simulation",8,7,1
1343220,"Casual,Indie",12,9,3
1672700,"Action,Indie",1,1,0
1860120,"Adventure,Casual,Free to Play",2,2,0
1338020,"Action,Indie",28,26,2
